ENX,Eaton Vance New York Municipal Bond Fund,$207.79M,United States,2002,n/a,AMEX
NYH,Eaton Vance New York Municipal Bond Fund II,$33.02M,United States,2002,n/a,AMEX
EVY,Eaton Vance New York Municipal Income Trust,$78.85M,United States,1999,n/a,AMEX
EIO,Eaton Vance Ohio Municipal Bond Fund,$35.39M,United States,2002,n/a,AMEX
EVO,Eaton Vance Ohio Municipal Income Trust,$41.89M,United States,1999,n/a,AMEX
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,$41.49M,United States,2002,n/a,AMEX
EVP,Eaton Vance Pennsylvania Municipal Income Trust,$33.42M,United States,1999,n/a,AMEX
ELMD,"Electromed, Inc.",$32.42M,United States,2011,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX
ETAK,Elephant Talk Communications Corp.,$35.56M,United States,n/a,EDP Services,AMEX
ELLO,Ellomay Capital Ltd.,$91.09M,Israel,n/a,Electric Utilities: Central,AMEX
ECF,Ellsworth Growth and Income Fund Ltd.,$95.86M,United States,1986,n/a,AMEX
EMAN,eMagin Corporation,$57.03M,United States,n/a,Semiconductors,AMEX
MSN,Emerson Radio Corporation,$24.15M,United States,n/a,Consumer Electronics/Appliances,AMEX
UUUU,Energy Fuels Inc,$119.53M,n/a,n/a,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
ENRJ,"EnerJex Resources, Inc.",$2.21M,United States,n/a,Oil & Gas Production,AMEX
ENRJ^,"EnerJex Resources, Inc.",n/a,United States,n/a,n/a,AMEX
ENSV,ENSERVCO Corporation,$22.49M,United States,n/a,Oilfield Services/Equipment,AMEX
ESNC,"EnSync, Inc.",$12.85M,United States,n/a,Electric Utilities: Central,AMEX
EGI,Entree Gold Inc,$40.88M,Canada,n/a,Precious Metals,AMEX
EVI,"EnviroStarm, Inc.",$22.16M,United States,n/a,Other Consumer Services,AMEX
ERB,"ERBA Diagnostics, Inc.",$50.25M,United States,n/a,Major Pharmaceuticals,AMEX
ERN,Erin Energy Corp.,$437.93M,United States,n/a,Oil & Gas Production,AMEX
ESP,Espey Mfg. & Electronics Corp.,$58.27M,United States,n/a,Industrial Machinery/Components,AMEX
EMXX,Eurasian Minerals Inc.,$43.83M,Canada,n/a,Precious Metals,AMEX
EVBN,"Evans Bancorp, Inc.",$106.53M,United States,n/a,Major Banks,AMEX
EPM,"Evolution Petroleum Corporation, Inc.",$153.23M,United States,n/a,Oil & Gas Production,AMEX
EPM^A,"Evolution Petroleum Corporation, Inc.",n/a,United States,n/a,n/a,AMEX
XRA,Exeter Resource Corporation,$51.21M,Canada,n/a,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
